Tweet,Processed
"In the world of blockchain, the innovations come fast and furious. After the NFT (non fungible token), the new acronym on blockchain fast forward is #DAO. 
https://t.co/RqvSPvytvl",world blockchain innovations come fast furious non fungible token new acronym blockchain fast forward dao
"The #metaverse is increasingly becoming fashion’s go-to playground as people spend more time in virtual worlds. @Roblox
https://t.co/9ai7yevklI",increasingly becoming fashion go playground people spend time virtual worlds
"In the world of blockchain, the innovations come fast and furious. After the NFT (non fungible token), the new acronym on blockchain fast forward is #DAO. 
https://t.co/TZsCTbubix",world blockchain innovations come fast furious non fungible token new acronym blockchain fast forward dao
"The #metaverse is increasingly becoming fashion’s go-to playground as people spend more time in virtual worlds. @Roblox
https://t.co/9ai7yevklI",increasingly becoming fashion go playground people spend time virtual worlds
"Fashion is an early adopter of #metaverse technologies. These include 3D design; social media and extended reality; gaming and virtual spaces; and non-fungible tokens. Here are a few key projects.
https://t.co/e1eV3kUned",fashion early adopter technologies include 3d design social media extended reality gaming virtual spaces non fungible tokens key projects
"Instead of selling NFTs, the beauty brand is giving shoppers who are signed to its rewards scheme the chance to receive free products for 10 years along with one of three editions of an NFT artwork. 
https://t.co/fgruE9yi8n",instead selling beauty brand giving shoppers signed rewards scheme chance receive free products 10 years along editions artwork
"In the world of blockchain, the innovations come fast and furious. After the NFT (non fungible token), the new acronym on blockchain fast forward is DAO. But the two are different. 
https://t.co/RqvSPvytvl",world blockchain innovations come fast furious non fungible token new acronym blockchain fast forward dao different
"How a brand appears in the metaverse could help them make a successful splash, or risk alienating millions of loyal users. Now, a new need is emerging: someone who can oversee and integrate these projects.
https://t.co/UWlBdfMaZw",brand appears could help make successful splash risk alienating millions loyal users new need emerging someone oversee integrate projects
"How a brand appears in the metaverse could help them make a successful splash, or risk alienating millions of loyal users. Now, a new need is emerging: someone who can oversee and integrate these projects.
https://t.co/UWlBdfuzAW",brand appears could help make successful splash risk alienating millions loyal users new need emerging someone oversee integrate projects
"Fashion has entered the #metaverse, introducing new possibilities for tech and tools, such as AR try-on, gaming and avatars that interact in digital worlds. 

A session at the @VogueBusiness and @Google Summit will explore what fashion needs to know. 

📲https://t.co/Dg6NNJYiOL https://t.co/auZBjGHFal",fashion entered introducing new possibilities tech tools ar try gaming avatars interact digital worlds session summit explore fashion needs know
"Fashion has entered the #metaverse, introducing new possibilities for tech and tools, such as AR try-on, gaming and avatars that interact in digital worlds. 

A session at the @VogueBusiness and @Google Summit will explore what fashion needs to know. 

📲https://t.co/Dg6NNJGHXd https://t.co/YW9zV1LYd2",fashion entered introducing new possibilities tech tools ar try gaming avatars interact digital worlds session summit explore fashion needs know
"How a brand appears in the metaverse could help them make a successful splash, or risk alienating millions of loyal users. Now, a new need is emerging: someone who can oversee and integrate these projects.
https://t.co/UWlBdfMaZw",brand appears could help make successful splash risk alienating millions loyal users new need emerging someone oversee integrate projects
"What is an NFT? Why does fashion care? How are NFTs being used by brands? Is it just hype or should brands develop an NFT strategy?

A session at the @VogueBusiness and @Google will answer all the questions about NFTs which have swept across the industry➡️https://t.co/Dg6NNJGHXd https://t.co/kRerJH4xeU",fashion care used brands hype brands develop strategy session answer questions swept across industry
"What is an NFT? Why does fashion care? How are NFTs being used by brands? Is it just hype or should brands develop an NFT strategy?

A session at the @VogueBusiness and @Google will answer all the questions about NFTs which have swept across the industry➡️https://t.co/Dg6NNJGHXd https://t.co/wNcxPjWYN0",fashion care used brands hype brands develop strategy session answer questions swept across industry
".@Clinique is today becoming the first @EsteeLauder brand to offer an NFT in a bid to drive loyalty and add marketing weight to its top products in a sign of more purposeful brand uses of non-fungible tokens.
https://t.co/fgruE9yi8n",today becoming brand offer bid drive loyalty add marketing weight top products sign purposeful brand uses non fungible tokens
"How a brand appears in the metaverse could help them make a successful splash, or risk alienating millions of loyal users. Now, a new need is emerging: someone who can oversee and integrate these projects.
https://t.co/UWlBdfuzAW",brand appears could help make successful splash risk alienating millions loyal users new need emerging someone oversee integrate projects
"How a brand appears in the metaverse could help them make a successful splash, or risk alienating millions of loyal users. Now, a new need is emerging: someone who can oversee and integrate these projects.
https://t.co/UWlBdfuzAW",brand appears could help make successful splash risk alienating millions loyal users new need emerging someone oversee integrate projects
"How a brand appears in the metaverse could help them make a successful splash, or risk alienating millions of loyal users. Now, a new need is emerging: someone who can oversee and integrate these projects.
https://t.co/UWlBdfMaZw",brand appears could help make successful splash risk alienating millions loyal users new need emerging someone oversee integrate projects
"Connecting the dots between digital scarcity and the metaverse, NFTs (non-fungible tokens) offer a way to create digital items that retain value, which mimics physical luxury goods.
https://t.co/bs5yzHcgfT",connecting dots digital scarcity non fungible tokens offer way create digital items retain value mimics physical luxury goods
"How a brand appears in the metaverse could help them make a successful splash, or risk alienating millions of loyal users. Now, a new need is emerging: someone who can oversee and integrate these projects.
https://t.co/UWlBdfMaZw",brand appears could help make successful splash risk alienating millions loyal users new need emerging someone oversee integrate projects
"Connecting the dots between digital scarcity and the metaverse, NFTs (non-fungible tokens) offer a way to create digital items that retain value, which mimics physical luxury goods.
https://t.co/bs5yzHcgfT",connecting dots digital scarcity non fungible tokens offer way create digital items retain value mimics physical luxury goods
"Brands are entering the #Metaverse through virtual stores, AR, gaming and digital fashion shows. While many have relied on external partnerships, an internal expert or team might be on the horizon.

Is it time to hire a chief metaverse officer? 

https://t.co/EJQh7TTTn1",brands entering virtual stores ar gaming digital fashion shows many relied external partnerships internal expert team might horizon time hire chief officer
"How a brand appears in the metaverse could help them make a successful splash, or risk alienating millions of loyal users. Now, a new need is emerging: someone who can oversee and integrate these projects.
https://t.co/ZXtmtqcO5Q",brand appears could help make successful splash risk alienating millions loyal users new need emerging someone oversee integrate projects
"🔊Live:“Blockchain is one of the solutions, to additionally empower the customer. For us, the value of this empowerment is linked to the full transparency and traceability of the product that you provide through the digital twin or NFT certificate.” Antonio Carriero, @Breitling",live blockchain solutions additionally empower customer us value empowerment linked full transparency traceability product provide digital twin certificate antonio carriero
"A brand might be motivated to want to participate in NFT sales because resales of NFTs would allow a brand to continue making money on secondary sales and all future sales.
https://t.co/Rf7kEhrjcI",brand might motivated want participate sales resales allow brand continue making money secondary sales future sales
"Brands are entering the #Metaverse through virtual stores, AR, gaming and digital fashion shows. While many have relied on external partnerships, an internal expert or team might be on the horizon.

Is it time to hire a chief metaverse officer?

https://t.co/EJQh7TTTn1",brands entering virtual stores ar gaming digital fashion shows many relied external partnerships internal expert team might horizon time hire chief officer
"Brands are entering the #Metaverse through virtual stores, AR, gaming and digital fashion shows. While many have relied on external partnerships, an internal expert or team might be on the horizon.

Is it time to hire a chief metaverse officer?

https://t.co/EJQh7TCivt https://t.co/jkVHUGsENZ",brands entering virtual stores ar gaming digital fashion shows many relied external partnerships internal expert team might horizon time hire chief officer
"Now, as the initial NFT hype wave crests, brands are exploring different options. In-game NFTs have proven successful among brands including @LouisVuitton and @Burberry.
https://t.co/sfZ503COe4",initial hype wave crests brands exploring different options game proven successful among brands including
"“It's really: what is your metaverse strategy? How do you want people to engage with your brand and what is going to benefit them in the experience?” @Roblox
https://t.co/9ai7yeMVKi",really strategy want people engage brand going benefit experience
"As fashion becomes increasingly entrenched in the #metaverse and its core Gen Z customer base spends more of its time playing, socialising and shopping there, understanding its full potential is crucial.
https://t.co/Vcrnp8TwS9",fashion becomes increasingly entrenched core gen z customer base spends time playing socialising shopping understanding full potential crucial
"Fashion’s enthusiastic adoption of the #metaverse, where digital avatars, VR activations, NFTs and gaming partnerships offer fertile ground to build relationships with Gen Z, also raises new ethical challenges including on gender and race representation.
https://t.co/VEbu9pVkMk",fashion enthusiastic adoption digital avatars vr activations gaming partnerships offer fertile ground build relationships gen z raises new ethical challenges including gender race representation
"“It's really: what is your metaverse strategy? How do you want people to engage with your brand and what is going to benefit them in the experience?” @Roblox
https://t.co/9ai7yevklI",really strategy want people engage brand going benefit experience
"As fashion becomes increasingly entrenched in the #metaverse and its core Gen Z customer base spends more of its time playing, socialising and shopping there, understanding its full potential is crucial.
https://t.co/Vcrnp8TwS9",fashion becomes increasingly entrenched core gen z customer base spends time playing socialising shopping understanding full potential crucial
"Fashion’s enthusiastic adoption of the #metaverse, where digital avatars, VR activations, NFTs and gaming partnerships offer fertile ground to build relationships with Gen Z customers, also raises new ethical challenges on gender and race representation.
https://t.co/VEbu9pVkMk",fashion enthusiastic adoption digital avatars vr activations gaming partnerships offer fertile ground build relationships gen z customers raises new ethical challenges gender race representation
"As fashion becomes increasingly entrenched in the #metaverse and its core Gen Z customer base spends more of its time playing, socialising and shopping there, understanding its full potential is crucial.
https://t.co/VeQFOsgWuJ",fashion becomes increasingly entrenched core gen z customer base spends time playing socialising shopping understanding full potential crucial
"Brands are queuing up to experiment with virtual activations, particularly in the fashion sphere. From AR try-on to VR showrooms and fashion games, the #metaverse is front of mind for fashion brands hoping to catch a new marketing wave. @dimensionstudio 
https://t.co/l94kkpeYDU",brands queuing experiment virtual activations particularly fashion sphere ar try vr showrooms fashion games front mind fashion brands hoping catch new marketing wave
"Brands are queuing up to experiment with virtual activations, particularly in the fashion sphere. From AR try-on to VR showrooms and fashion games, the #metaverse is front of mind for fashion brands hoping to catch a new marketing wave. @dimensionstudio
https://t.co/l94kkpeYDU",brands queuing experiment virtual activations particularly fashion sphere ar try vr showrooms fashion games front mind fashion brands hoping catch new marketing wave
"Inside Roblox’s metaverse opportunity.
Fashion’s new opportunity to reach Gen Z is in the metaverse. Christina Wootton, VP of brand partnerships at Roblox, explains how brands can make the most of it.

https://t.co/9ai7yevklI",inside roblox opportunity fashion new opportunity reach gen z christina wootton vp brand partnerships roblox explains brands make
"Fashion-tech’s funding boom: Who’s being funded — and why.
A surge of investment from venture capitalists and luxury brands includes virtual clienteling, the metaverse, circular business models and supply chains.

https://t.co/qOV76Dt8y2",fashion tech funding boom funded surge investment venture capitalists luxury brands includes virtual clienteling circular business models supply chains
"Inside Roblox’s metaverse opportunity.
Fashion’s new opportunity to reach Gen Z is in the metaverse. Christina Wootton, VP of brand partnerships at Roblox, explains how brands can make the most of it.

https://t.co/9ai7yevklI",inside roblox opportunity fashion new opportunity reach gen z christina wootton vp brand partnerships roblox explains brands make
"Why games became luxury fashion’s NFT on-ramp.
This week, Louis Vuitton and Burberry enter the world of non-fungible tokens through video games, whose built-in consumer base eases the transition toward digital items of value.

https://t.co/bs5yzHtR7r",games became luxury fashion ramp week louis vuitton burberry enter world non fungible tokens video games whose built consumer base eases transition toward digital items value
"The fashion exec’s guide to the metaverse. 
The metaverse is here. We outline and explain the key technologies and projects most influential to fashion across digital clothing, mixed reality, gaming, NFTs and beyond.

https://t.co/Vcrnp8BVtz",fashion exec guide outline explain key technologies projects influential fashion across digital clothing mixed reality gaming beyond
"Ray-Ban and Facebook pitch smart glasses amid metaverse boom. Facebook and Ray-Ban parent Luxottica are rolling out $299 smart glasses that allow people to capture hands-free images, listen to music and make calls. 

https://t.co/ppZZtVUbqw",ray ban facebook pitch smart glasses amid boom facebook ray ban parent luxottica rolling 299 smart glasses allow people capture hands free images listen music make calls
"Inside Roblox’s metaverse opportunity. Fashion’s new opportunity to reach Gen Z is in the metaverse. Christina Wootton, VP of brand partnerships at Roblox, explains how brands can make the most of it. 

Find out more: https://t.co/nEQGImJewL",inside roblox opportunity fashion new opportunity reach gen z christina wootton vp brand partnerships roblox explains brands make find
"""As fashion becomes increasingly entrenched in the metaverse and its core Gen Z customer base spends more of its time playing, socialising and shopping there, understanding its full potential is crucial.""
https://t.co/Vcrnp8TwS9",fashion becomes increasingly entrenched core gen z customer base spends time playing socialising shopping understanding full potential crucial
"“We’re at the end of Web 2.0, which connected people, and heading into Web 3.0, which connects people, places and things. The metaverse is an extension of what comes next for human creativity, and fashion is one of the industries that will change forever.”
https://t.co/Vcrnp8TwS9",end web 2 0 connected people heading web 3 0 connects people places things extension comes next human creativity fashion industries change forever
"""As fashion becomes increasingly entrenched in the metaverse and its core Gen Z customer base spends more of its time playing, socialising and shopping there, understanding its full potential is crucial."" https://t.co/Vcrnp8BVtz",fashion becomes increasingly entrenched core gen z customer base spends time playing socialising shopping understanding full potential crucial
"The #metaverse is considered to be the next stage of how we use technology — the successor of the internet age. Depending who you ask, the metaverse can extend to digital fashion, social media, augmented reality, virtual stores, video games and NFTs.
https://t.co/Vcrnp8TwS9",considered next stage use technology successor internet age depending ask extend digital fashion social media augmented reality virtual stores video games
"#AR may be one means by which fashion NFTs can prove valuable. @DolceGabbana is expected to give renewed momentum to this view with the launch of its Collezione Genesi of NFT wearables, expected to include AR, today. 
https://t.co/sfZ503Up5C",ar may means fashion prove valuable expected give renewed momentum view launch collezione genesi wearables expected include ar today
"#AR may be one means by which fashion NFTs can prove valuable. @DolceGabbana is expected to give renewed momentum to this view with the launch of its Collezione Genesi of NFT wearables, expected to include AR, on 28 August. 
https://t.co/sfZ503COe4",ar may means fashion prove valuable expected give renewed momentum view launch collezione genesi wearables expected include ar 28 august
"Connecting the dots between digital scarcity and the metaverse, NFTs (non-fungible tokens) offer a way to create digital items that retain value, which mimics physical luxury goods.
https://t.co/bs5yzHcgfT",connecting dots digital scarcity non fungible tokens offer way create digital items retain value mimics physical luxury goods
"AR may be one means by which fashion NFTs can prove valuable. @dolcegabbana is expected to give renewed momentum to this view with the launch of its Collezione Genesi of #NFT wearables, expected to include AR, on 28 August. 
 https://t.co/sfZ503COe4",ar may means fashion prove valuable expected give renewed momentum view launch collezione genesi wearables expected include ar 28 august
"Connecting the dots between digital scarcity and the metaverse, #NFTs (non-fungible tokens) offer a way to create digital items that retain value, which mimics physical luxury goods.
https://t.co/bs5yzHtR7r",connecting dots digital scarcity non fungible tokens offer way create digital items retain value mimics physical luxury goods
".@AspreyLondon, the British jeweller with a royal warrant, is planning to release NFTs. They will be sold as a digital physical pair, meaning the buyer acquires both the object and the digital NFT representation of the object.
https://t.co/v3RqVV91oW",british jeweller royal warrant planning release sold digital physical pair meaning buyer acquires object digital representation object
".@AspreyLondon, the British jeweller with a royal warrant, is planning to release NFTs. They will be sold as a digital physical pair, meaning the buyer acquires both the object and the digital NFT representation of the object.
https://t.co/v3RqVVqCNw",british jeweller royal warrant planning release sold digital physical pair meaning buyer acquires object digital representation object
"Are sales of branded digital items legal if the brand had nothing to do with them? #NFT
https://t.co/Rf7kEhrjcI",sales branded digital items legal brand nothing
"“People have so much interest in NFTs. People are collecting things for bragging rights. Imagine what people would do to collect an #NFT that’s an image of #KarlLagerfeld and Eric Pfrunder [@CHANEL’s former artistic director for fashion].”
https://t.co/i6gy8R3Fn1",people much interest people collecting things bragging rights imagine people collect image karllagerfeld eric pfrunder
"Now, the smoke is beginning to clear on the initial hype cycle as NFT price tags level out, and fashion brands are having a harder time making a big splash on existing NFT exchanges.
https://t.co/7ysyP8P7kb",smoke beginning clear initial hype cycle price tags level fashion brands harder time making big splash existing exchanges
"Nonprofit #AuraBlockchainConsortium, open to any luxury brand, has the ability to track and trace any product with a unique digital identity based on a #NFT, with all brands collectively contributing to the #blockchain governance and strategy. 
https://t.co/6aO0sf5m6M",nonprofit aurablockchainconsortium open luxury brand ability track trace product unique digital identity based brands collectively contributing blockchain governance strategy
"“People have so much interest in NFTs. People are collecting things for bragging rights. Imagine what people would do to collect an #NFT that’s an image of #KarlLagerfeld and Eric Pfrunder [@CHANEL’s former artistic director for fashion].”
https://t.co/i6gy8R3Fn1",people much interest people collecting things bragging rights imagine people collect image karllagerfeld eric pfrunder
"Now, the smoke is beginning to clear on the initial hype cycle as NFT price tags level out, and fashion brands are having a harder time making a big splash on existing NFT exchanges.
https://t.co/7ysyP8P7kb",smoke beginning clear initial hype cycle price tags level fashion brands harder time making big splash existing exchanges
"Nonprofit #AuraBlockchainConsortium, open to any luxury brand, has the ability to track and trace any product with a unique digital identity based on a #NFT, with all brands collectively contributing to the #blockchain governance and strategy. 
https://t.co/6aO0seNKIc",nonprofit aurablockchainconsortium open luxury brand ability track trace product unique digital identity based brands collectively contributing blockchain governance strategy
"“People have so much interest in NFTs. People are collecting things for bragging rights. Imagine what people would do to collect an #NFT that’s an image of #KarlLagerfeld and Eric Pfrunder [@CHANEL’s former artistic director for fashion].”
https://t.co/i6gy8R3Fn1",people much interest people collecting things bragging rights imagine people collect image karllagerfeld eric pfrunder
"While luxury brands have dominated the NFT conversation, beauty brands are also seeing an opportunity.

@NARSCosmetics has debuted its first series of NFTs.

@voguebusiness gets an exclusive behind-the-scenes look into why they are tapping into the hype.

https://t.co/50fO1ZTP7P",luxury brands dominated conversation beauty brands seeing opportunity debuted series gets exclusive behind scenes look tapping hype
"Despite the #NFT borrowing the iconic Birkin name and style, @Hermes_Paris had no affiliation with — and saw no revenue from — the sale.
https://t.co/Rf7kEhrjcI",despite borrowing iconic birkin name style affiliation saw revenue sale
"The smoke is beginning to clear on the initial hype cycle as #NFT price tags level out, and fashion brands are having a harder time making a big splash on existing NFT exchanges. 
https://t.co/7ysyP8P7kb",smoke beginning clear initial hype cycle price tags level fashion brands harder time making big splash existing exchanges
"""Legal teams need to educate themselves about the metaverse and potential issues that might come with people trying to be creative. Maybe someone wants to use part of Gucci and merge it with another brand — and the brand has no say in the hybrid?” https://t.co/Rf7kEhrjcI",legal teams need educate potential issues might come people trying creative maybe someone wants use part gucci merge another brand brand hybrid
"The smoke is beginning to clear on the initial hype cycle as NFT price tags level out, and fashion brands are having a harder time making a big splash on existing #NFT exchanges.  https://t.co/7ysyP96IIL",smoke beginning clear initial hype cycle price tags level fashion brands harder time making big splash existing exchanges
"The smoke is beginning to clear on the initial hype cycle as #NFT price tags level out, and fashion brands are having a harder time making a big splash on existing NFT exchanges. 
https://t.co/7ysyP96IIL",smoke beginning clear initial hype cycle price tags level fashion brands harder time making big splash existing exchanges
"""While the rules around creating physical counterfeits are relatively clear, rules in the metaverse are still a bit murky.""
https://t.co/Rf7kEhIUBi",rules around creating physical counterfeits relatively clear rules still bit murky
"Can NFTs work for luxury jewellery? The NFT debate is now running through the market for diamonds and luxury jewellery. Royal jeweller Asprey plans to issue NFTs, but others are staying away — for now. 

https://t.co/v3RqVV91oW",work luxury jewellery debate running market diamonds luxury jewellery royal jeweller asprey plans issue others staying away
"The ‘Baby Birkin’ NFT and the legal scrutiny on digital fashion. As digital fashion increases in value and relevance, brands must consider how they show up in the metaverse, including how much control they want over user-generated content.

https://t.co/Rf7kEhIUBi",baby birkin legal scrutiny digital fashion digital fashion increases value relevance brands must consider show including much control want user generated content
"Despite borrowing the iconic Birkin name and style, Hermès had no affiliation with — and saw no revenue from — the #NFT. This raises questions around ownership and legality: are sales of branded digital items legal if the brand had nothing to do with them?
https://t.co/Rf7kEhrjcI",despite borrowing iconic birkin name style herm affiliation saw revenue raises questions around ownership legality sales branded digital items legal brand nothing
"“We don’t want customers subject to the price volatility that we are seeing in the marketplace today...We are taking our time to explore jewellery-related #NFT use cases that create concrete benefits.” Timothy Iwata Durie, innovation director, @Cartier 
https://t.co/v3RqVV91oW",want customers subject price volatility seeing marketplace today taking time explore jewellery related use cases create concrete benefits timothy iwata durie innovation director
"Are sales of branded digital items legal if the brand had nothing to do with them? #NFT
https://t.co/Rf7kEhrjcI",sales branded digital items legal brand nothing
"""Despite the #NFT borrowing the iconic Birkin name and style, Hermès had no affiliation with — and saw no revenue from — the sale.""
https://t.co/Rf7kEhrjcI",despite borrowing iconic birkin name style herm affiliation saw revenue sale
"Gucci is expanding its presence on Roblox, a metaverse and gaming platform, with a virtual two-week art installation, Vogue Business can exclusively reveal. It’s building brand awareness among some very young customers.

https://t.co/g4EZ3Y9rsL",gucci expanding presence roblox gaming platform virtual week art installation vogue business exclusively reveal building brand awareness among young customers
"Is the NFT gold rush over already or is it just beginning? While the days of easy money are over, fashion brands can still make a splash in the NFT world.

https://t.co/7ysyP8P7kb",gold rush already beginning days easy money fashion brands still make splash world
"Gucci is expanding its presence on Roblox, a metaverse and #gaming platform, with a virtual two-week art installation, Vogue Business can exclusively reveal. It’s building brand awareness among some very young customers.

https://t.co/g4EZ3Y9rsL",gucci expanding presence roblox gaming platform virtual week art installation vogue business exclusively reveal building brand awareness among young customers
"""Now, the smoke is beginning to clear on the initial hype cycle as NFT price tags level out, and fashion brands are having a harder time making a big splash on existing #NFT exchanges."" 
https://t.co/7ysyP8P7kb",smoke beginning clear initial hype cycle price tags level fashion brands harder time making big splash existing exchanges
"The smoke is beginning to clear on the initial hype cycle as #NFT price tags level out, and fashion brands are having a harder time making a big splash on existing NFT exchanges. What happens next? https://t.co/7ysyP96IIL",smoke beginning clear initial hype cycle price tags level fashion brands harder time making big splash existing exchanges happens next
"Gucci recently confirmed to @voguebusiness that it’s “only a matter of time” before a brand like @gucci will release an NFT. In addition, multiple industry sources that a number of luxury fashion houses are close to releasing #NFTs.

https://t.co/tBHfKPokLe",gucci recently confirmed matter time brand like release addition multiple industry sources number luxury fashion houses close releasing
"While each new day brings another breathless story on a new non-fungible token (#NFT) record sale, the luxury fashion world has remained relatively quiet. But that’s about to change. https://t.co/wBii1YModH",new brings another breathless story new non fungible token record sale luxury fashion world remained relatively quiet change
"Thanks a lot @cryptophilip @machibigbrother @wilsonhuangji for BIG supporting The First Ever Chinese Magazine Cover NFT!!

⏰30mins left until the end of the auction on @withFND !!!
https://t.co/HXBhcavcHp

#NFT #nftart #NFTartist",thanks lot big supporting ever chinese magazine cover 30mins left end auction nftart nftartist
"Thanks @dAAAb for adding a bid of 3.00 ETH, making history with VOGUE TAIWAN and @aaronnieh! 💙

#NFT @withFND https://t.co/VWY7JWk6Ss",thanks adding bid 3 00 eth making history vogue taiwan
"The First Ever Chinese Magazine Cover #NFT 
VOGUE TAIWAN JULY 2021 ISSUE | Formosa Love
⏰Join the Bid: https://t.co/ntiZuvosFM

This is the first time that @aaronnieh,one of Taiwan’s most talented graphic designers, has acted as creative director to a special edition VOGUE cover https://t.co/gcPBHNXrBL",ever chinese magazine cover vogue taiwan july 2021 issue formosa love join bid time taiwan talented graphic designers acted creative director special edition vogue cover
Kate Moss Ventures Into The NFT Art Market By Sharing Some of Her Most Intimate Moments https://t.co/oKINHgNhoS,kate moss ventures art market sharing intimate moments
"From his Middle Eastern-inspired carpet paintings to digital designs embracing augmented reality, Jason Seife is using contemporary mediums to bring a traditional art form to the masses…

@jasonseife #JasonSeife #Art #NFT #MiddleEasternArt 
https://t.co/FREetQoXmB",middle eastern inspired carpet paintings digital designs embracing augmented reality jason seife using contemporary mediums bring traditional art form masses jasonseife art middleeasternart
"Refik Anadol’s play on perception suggests the eerie possibility of a future in which there are no more non-digital realities

#RefikAnadol #Art #NFT 
https://t.co/nRyKljHc4e",refik anadol play perception suggests eerie possibility future non digital realities refikanadol art
"On October 7 a contemporary milieu of collectors, artists, musicians, NFT creators, fashion designers, architects and chefs from around the world will flock to the Emirate #AbuDhabi 

https://t.co/k2SLvSbX0i",october 7 contemporary milieu collectors artists musicians creators fashion designers architects chefs around world flock emirate abudhabi
NFT : very important Beeple https://t.co/UT0LRPuCDa https://t.co/AdpjD8Oaaa,important beeple
Fashion’s Latest “It” Destination Is the Metaverse https://t.co/454caIVwie,fashion latest destination
Fashion’s Latest “It” Destination Is the Metaverse https://t.co/ZhhyDFnZdq,fashion latest destination
Birkin NFT: Everything You Need To Know About The 'Handbag' Of The Future https://t.co/WSoQkYASnW,birkin everything need know handbag future
Facebook Name Change: Social Media Company Might Be Called Something Else Related To 'Metaverse' https://t.co/Sbpwim9XlY,facebook name change social media company might called something else related
"Not where I want to be...
#Metaverse #Marriage #RealEstate #Bizarre
https://t.co/PRQGt25oiE",want marriage realestate bizarre
"On Thursday, the recently freed Westworld host announced that the company will change its name to Meta—and will put extra focus on its virtual reality hellscape, the Metaverse. 

We, the human beings of this doomed Earth, are making memes about it. https://t.co/REs747mLac",thursday recently freed westworld host announced company change name meta put extra focus virtual reality hellscape human beings doomed earth making memes
"In the world of NFT art, FEWOCiOUS is an elite. But his ascension to auction house-level required him to fight like hell to get there. https://t.co/uXY5CmAWsy",world art fewocious elite ascension auction house level required fight like hell get
"In the world of NFT art, FEWOCiOUS is an elite. But his ascension to auction house-level required him to fight like hell to get there. https://t.co/SLhblcHUQV",world art fewocious elite ascension auction house level required fight like hell get
"In the world of NFT art, @fewocious is an elite. But his ascension to auction house-level required him to fight like hell to get there. https://t.co/waPS4Qs2eH via @ab_covington",world art elite ascension auction house level required fight like hell get via
"Update: Beeple's ""Everydays"" NFT has sold for $69M 👀 https://t.co/ucQ54xK8K4",update beeples everydays sold 69m
Each NFT features a critically endangered animal. https://t.co/1Zk5uXgIIi,features critically endangered animal
Anything can be an NFT. https://t.co/ZnudTZJGTC,anything
What does a metaverse mean to human culture? https://t.co/eEDehzVQLi,mean human culture
"Join @voguesingapore x @lunaikuta discussing the upcoming digital cover NFT Drop '12 Months of Afterlife' on Twitter Spaces @SuperRare 
31 January, 11PM SGT/ 10AM EST https://t.co/9j6HODU7P1",join x discussing upcoming digital cover drop 12 months afterlife twitter spaces 31 january 11pm sgt 10am est
"Creative consultant and all-round fashion maven Mae Tan #marxmae wearing the #DMATxESQUIRESGxSATS Bell collectible NFT #sneaker out on the streets.⁠
⁠
Get yours here: https://t.co/zgCSnbvz7Z

#metaverse #crypto #NFTs https://t.co/SlXvsMgCsp",creative consultant round fashion maven mae tan marxmae wearing dmatxesquiresgxsats bell collectible sneaker streets get crypto
"Creative head and #sneakerhead @vjanand78 wearing the #DMATxESQUIRESGxSATS Quarry collectible NFT #sneaker designed by @tobyato_.

Get yours here: https://t.co/hGMg7FPX49

#metaverse #crypto #NFTs https://t.co/Ng0QeOuMGn",creative head sneakerhead wearing dmatxesquiresgxsats quarry collectible sneaker designed get crypto
"Update: The Imperial Phygital is now sold out.

Our #DMATxESQUIRESGxSATS #NFT Sneaker collection is now live. Click on the following links to purchase them!
The Bell Collectible: https://t.co/5pf6TxscJ0
The Quarry Collectible: https://t.co/RpIuYOTg4Q

#NFTs #metaverse #crypto https://t.co/JmtmHJ9BT5",update imperial phygital sold dmatxesquiresgxsats sneaker collection live click following links purchase bell collectible quarry collectible crypto
"Here's how the #DMATxESQUIRESGxSATS #NFT Sneaker collection looks when worn. Try them now!

The Imperial Phygital - https://t.co/YfZZFAytvO
The Bell Collectible - https://t.co/SXM4J2gEll
The Quarry Collectible - https://t.co/RDdQb5Q8ym

#metaverse #cryptocurrency #crypto #NFTs https://t.co/I9yTGU6Y0r",heres dmatxesquiresgxsats sneaker collection looks worn try imperial phygital bell collectible quarry collectible cryptocurrency crypto
"#DMATxESQUIRESGxSATS #NFT Sneaker collection — The Quarry Collectible

Purchase here: https://t.co/RpIuYOTg4Q https://t.co/VqxPaEfGJH",dmatxesquiresgxsats sneaker collection quarry collectible purchase
"#DMATxESQUIRESGxSATS #NFT Sneaker collection — The Imperial Phygital

Purchase here: https://t.co/CMJDUj4l7k https://t.co/rikUQN0S65",dmatxesquiresgxsats sneaker collection imperial phygital purchase
"#DMATxESQUIRESGxSATS #NFT Sneaker collection — The Bell Collectible

Purchase here: https://t.co/5pf6TxscJ0 https://t.co/e48BWHCxHQ",dmatxesquiresgxsats sneaker collection bell collectible purchase
"Our #DMATxESQUIRESGxSATS #NFT Sneaker collection is now live. Click on the following links to purchase them all!

The Bell Collectible: https://t.co/5pf6TxscJ0
The Quarry Collectible: https://t.co/RpIuYOTg4Q
The Imperial Phygital: https://t.co/CMJDUj4l7k https://t.co/JmdEpyWTIT",dmatxesquiresgxsats sneaker collection live click following links purchase bell collectible quarry collectible imperial phygital
"Try out the #DMATxESQUIRESGxSATS #NFT Sneaker collection here: 

The Imperial Phygital - https://t.co/YfZZFAytvO
The Bell Collectible - https://t.co/SXM4J2gEll
The Quarry Collectible - https://t.co/RDdQb5Q8ym",try dmatxesquiresgxsats sneaker collection imperial phygital bell collectible quarry collectible
